Year,Month,Month_Number,Date,International_Tourist_Arrivals,Average_Temperature,Rainfall,Cambodia_Holiday_Days,COVID_Indicator,Lag_1,Lag_3,Lag_12,Rolling_3_Mean,Rolling_12_Mean,Total_Origin_Holidays,China_Holidays
2011,January,1,2011-01-01,274471,26.52,0.04,2,0,,,,,,9,1
2011,February,2,2011-02-01,255499,29.76,0.09,0,0,274471.0,,,,,7,1
2011,March,3,2011-03-01,248497,30.2,1.07,1,0,255499.0,,,,,3,0
2011,April,4,2011-04-01,223032,30.32,3.96,3,0,248497.0,274471.0,,259489.0,,7,0
2011,May,5,2011-05-01,190258,29.03,2.7,3,0,223032.0,255499.0,,242342.66666666663,,13,1
2011,June,6,2011-06-01,193272,27.98,2.66,1,0,190258.0,248497.0,,220595.66666666663,,4,1
2011,July,7,2011-07-01,239527,27.26,6.56,0,0,193272.0,223032.0,,202187.3333333333,,5,0
2011,August,8,2011-08-01,250429,27.04,8.25,0,0,239527.0,190258.0,,207685.66666666663,,5,0
2011,September,9,2011-09-01,209804,26.39,6.49,4,0,250429.0,193272.0,,227742.66666666663,,8,1
2011,October,10,2011-10-01,233190,26.64,6.88,2,0,209804.0,239527.0,,233253.3333333333,,7,1
2011,November,11,2011-11-01,265539,26.29,3.17,4,0,233190.0,250429.0,,231141.0,,7,0
2011,December,12,2011-12-01,298344,25.66,0.34,1,0,265539.0,209804.0,,236177.66666666663,,6,0
2012,January,1,2012-01-01,350257,27.87,0.98,2,0,298344.0,233190.0,274471.0,265691.0,240155.16666666663,14,2
2012,February,2,2012-02-01,321870,29.65,1.03,0,0,350257.0,265539.0,255499.0,304713.3333333333,246470.66666666663,3,0
2012,March,3,2012-03-01,323083,30.87,1.12,1,0,321870.0,298344.0,248497.0,323490.3333333333,252001.5833333333,3,0
2012,April,4,2012-04-01,277304,30.23,2.17,3,0,323083.0,350257.0,223032.0,331736.6666666667,258217.0833333333,8,0
2012,May,5,2012-05-01,233220,28.0,6.19,3,0,277304.0,321870.0,190258.0,307419.0,262739.75,15,2
2012,June,6,2012-06-01,250918,27.69,1.77,1,0,233220.0,323083.0,193272.0,277869.0,266319.9166666667,1,0
2012,July,7,2012-07-01,284282,27.09,6.18,0,0,250918.0,277304.0,239527.0,253814.0,271123.75,5,0
2012,August,8,2012-08-01,293859,27.55,1.93,0,0,284282.0,233220.0,250429.0,256140.0,274853.3333333333,5,0
2012,September,9,2012-09-01,242747,26.59,7.66,1,0,293859.0,250918.0,209804.0,276353.0,278472.5,6,1
2012,October,10,2012-10-01,290959,26.85,4.75,5,0,242747.0,284282.0,233190.0,273629.3333333333,281217.75,9,1
2012,November,11,2012-11-01,333482,26.84,7.08,4,0,290959.0,293859.0,265539.0,275855.0,286031.8333333333,7,0
2012,December,12,2012-12-01,382326,26.96,0.36,1,0,333482.0,242747.0,298344.0,289062.6666666667,291693.75,6,0
2013,January,1,2013-01-01,404106,27.25,0.21,2,0,382326.0,290959.0,350257.0,335589.0,298692.25,10,1
2013,February,2,2013-02-01,385760,30.45,0.02,0,0,404106.0,333482.0,321870.0,373304.6666666667,303179.6666666667,7,1
2013,March,3,2013-03-01,382206,32.12,0.46,1,0,385760.0,382326.0,323083.0,390730.6666666667,308503.8333333333,6,0
2013,April,4,2013-04-01,327000,30.65,1.66,3,0,382206.0,404106.0,277304.0,390690.6666666667,313430.75,4,0
2013,May,5,2013-05-01,292115,30.06,1.57,3,0,327000.0,385760.0,233220.0,364988.6666666667,317572.0833333333,15,1
2013,June,6,2013-06-01,301412,28.1,6.7,1,0,292115.0,382206.0,250918.0,333773.6666666667,322480.0,2,1
2013,July,7,2013-07-01,338761,26.95,4.34,0,0,301412.0,327000.0,284282.0,306842.3333333333,326687.8333333333,5,0
2013,August,8,2013-08-01,342064,26.87,3.08,0,0,338761.0,292115.0,293859.0,310762.6666666667,331227.75,5,0
2013,September,9,2013-09-01,283787,27.08,4.02,1,0,342064.0,301412.0,242747.0,327412.3333333333,335244.8333333333,8,1
2013,October,10,2013-10-01,334410,27.08,4.33,5,0,283787.0,338761.0,290959.0,321537.3333333333,338664.8333333333,7,1
2013,November,11,2013-11-01,386737,27.65,3.4,4,0,334410.0,342064.0,333482.0,320087.0,342285.75,6,0
2013,December,12,2013-12-01,431807,25.32,0.41,1,0,386737.0,283787.0,382326.0,334978.0,346723.6666666667,7,0
2014,January,1,2014-01-01,442045,26.67,0.0,2,0,431807.0,334410.0,404106.0,384318.0,350847.0833333333,13,2
2014,February,2,2014-02-01,425801,29.42,0.03,0,0,442045.0,386737.0,385760.0,420196.3333333333,354008.6666666667,4,0
2014,March,3,2014-03-01,400076,31.48,0.6,1,0,425801.0,431807.0,382206.0,433217.6666666667,357345.4166666667,3,0
2014,April,4,2014-04-01,332690,32.25,1.18,3,0,400076.0,442045.0,327000.0,422640.6666666667,358834.5833333333,7,0
2014,May,5,2014-05-01,300302,31.03,2.13,3,0,332690.0,425801.0,292115.0,386189.0,359308.75,14,1
2014,June,6,2014-06-01,300454,28.57,6.65,1,0,300302.0,400076.0,301412.0,344356.0,359991.0,3,1
2014,July,7,2014-07-01,340091,27.28,4.52,0,0,300454.0,332690.0,338761.0,311148.6666666667,359911.1666666667,5,0
2014,August,8,2014-08-01,347211,27.53,2.22,0,0,340091.0,300302.0,342064.0,313615.6666666667,360022.0,5,0
2014,September,9,2014-09-01,311388,27.55,4.23,4,0,347211.0,300454.0,283787.0,329252.0,360450.9166666667,8,1
2014,October,10,2014-10-01,390637,27.48,4.21,2,0,311388.0,340091.0,334410.0,332896.6666666667,362751.0,7,1
2014,November,11,2014-11-01,411501,27.7,4.44,4,0,390637.0,347211.0,386737.0,349745.3333333333,367436.5833333333,6,0
2014,December,12,2014-12-01,500579,27.47,1.2,1,0,411501.0,311388.0,431807.0,371175.3333333333,369500.25,7,0
2015,January,1,2015-01-01,460577,27.3,0.11,2,0,500579.0,390637.0,442045.0,434239.0,375231.25,10,1
2015,February,2,2015-02-01,430207,29.26,0.24,0,0,460577.0,411501.0,425801.0,457552.3333333333,376775.5833333333,7,1
2015,March,3,2015-03-01,417052,31.97,0.22,1,0,430207.0,500579.0,400076.0,463787.6666666667,377142.75,3,0
2015,April,4,2015-04-01,361139,31.07,2.9,3,0,417052.0,460577.0,332690.0,435945.3333333333,378557.4166666667,7,0
2015,May,5,2015-05-01,314748,31.61,1.51,3,0,361139.0,430207.0,300302.0,402799.3333333333,380928.1666666667,15,1
2015,June,6,2015-06-01,318267,29.48,2.86,1,0,314748.0,417052.0,300454.0,364313.0,382132.0,2,1
2015,July,7,2015-07-01,364325,29.14,1.33,0,0,318267.0,361139.0,340091.0,331384.6666666667,383616.4166666667,5,0
2015,August,8,2015-08-01,366096,27.4,9.31,0,0,364325.0,314748.0,347211.0,332446.6666666667,385635.9166666667,5,0
2015,September,9,2015-09-01,314459,27.3,4.44,1,0,366096.0,318267.0,311388.0,349562.6666666667,387209.6666666667,8,1
2015,October,10,2015-10-01,408922,27.3,4.34,5,0,314459.0,364325.0,390637.0,348293.3333333333,387465.5833333333,7,1
2015,November,11,2015-11-01,444640,28.05,2.36,4,0,408922.0,366096.0,411501.0,363159.0,388989.3333333333,7,0
2015,December,12,2015-12-01,574799,28.99,0.42,1,0,444640.0,314459.0,500579.0,389340.3333333333,391750.9166666667,6,0
2016,January,1,2016-01-01,466086,29.71,0.86,2,0,574799.0,408922.0,460577.0,476120.3333333333,397935.9166666667,10,1
2016,February,2,2016-02-01,448468,30.43,0.17,0,0,466086.0,444640.0,430207.0,495175.0,398395.0,7,1
2016,March,3,2016-03-01,427923,32.52,0.21,1,0,448468.0,574799.0,417052.0,496451.0,399916.75,8,0
2016,April,4,2016-04-01,367684,33.68,0.26,3,0,427923.0,466086.0,361139.0,447492.3333333333,400822.6666666667,2,0
2016,May,5,2016-05-01,320601,31.36,3.78,3,0,367684.0,448468.0,314748.0,414691.6666666667,401368.0833333333,15,1
2016,June,6,2016-06-01,330170,28.65,1.46,1,0,320601.0,427923.0,318267.0,372069.3333333333,401855.8333333333,2,1
2016,July,7,2016-07-01,395761,29.16,0.82,0,0,330170.0,367684.0,364325.0,339485.0,402847.75,5,0
2016,August,8,2016-08-01,406214,29.55,0.77,0,0,395761.0,320601.0,366096.0,348844.0,405467.4166666667,5,0
2016,September,9,2016-09-01,345508,28.94,4.61,2,0,406214.0,330170.0,314459.0,377381.6666666667,408810.5833333333,8,1
2016,October,10,2016-10-01,414077,27.2,5.37,4,0,345508.0,395761.0,408922.0,382494.3333333333,411398.0,7,1
2016,November,11,2016-11-01,477686,27.44,4.57,4,0,414077.0,406214.0,444640.0,388599.6666666667,411827.5833333333,7,0
2016,December,12,2016-12-01,611534,26.99,1.08,1,0,477686.0,345508.0,574799.0,412423.6666666667,414581.4166666667,6,0
2017,January,1,2017-01-01,532206,28.61,0.6,2,0,611534.0,414077.0,466086.0,501099.0,417642.6666666667,14,2
2017,February,2,2017-02-01,493316,29.42,0.57,0,0,532206.0,477686.0,448468.0,540475.3333333334,423152.6666666667,3,0
2017,March,3,2017-03-01,477374,31.06,0.48,1,0,493316.0,611534.0,427923.0,545685.3333333334,426890.0,3,0
2017,April,4,2017-04-01,412925,31.79,0.98,3,0,477374.0,532206.0,367684.0,500965.3333333333,431010.9166666667,7,0
2017,May,5,2017-05-01,368809,29.68,3.99,3,0,412925.0,493316.0,320601.0,461205.0,434781.0,15,2
2017,June,6,2017-06-01,378049,29.22,2.09,1,0,368809.0,477374.0,330170.0,419702.6666666667,438798.3333333333,2,0
2017,July,7,2017-07-01,446627,28.0,4.54,0,0,378049.0,412925.0,395761.0,386594.3333333333,442788.25,5,0
2017,August,8,2017-08-01,427224,27.87,5.65,0,0,446627.0,368809.0,406214.0,397828.3333333333,447027.0833333333,5,0
2017,September,9,2017-09-01,376231,27.57,7.11,4,0,427224.0,378049.0,345508.0,417300.0,448777.9166666667,4,0
2017,October,10,2017-10-01,417039,26.98,2.82,2,0,376231.0,446627.0,414077.0,416694.0,451338.1666666667,11,2
2017,November,11,2017-11-01,570471,27.26,3.12,4,0,417039.0,427224.0,477686.0,406831.3333333333,451585.0,7,0
2017,December,12,2017-12-01,701886,26.4,1.35,1,0,570471.0,376231.0,611534.0,454580.3333333333,459317.0833333333,6,0
2018,January,1,2018-01-01,596241,27.64,2.44,2,0,701886.0,417039.0,532206.0,563132.0,466846.4166666667,10,1
2018,February,2,2018-02-01,542937,27.73,0.26,0,0,596241.0,570471.0,493316.0,622866.0,472182.6666666667,7,1
2018,March,3,2018-03-01,572075,30.45,2.59,1,0,542937.0,701886.0,477374.0,613688.0,476317.75,6,0
2018,April,4,2018-04-01,463423,30.21,3.17,3,0,572075.0,596241.0,412925.0,570417.6666666666,484209.5,4,0
2018,May,5,2018-05-01,419171,28.75,5.72,3,0,463423.0,542937.0,368809.0,526145.0,488417.6666666667,15,1
2018,June,6,2018-06-01,407813,26.95,11.28,1,0,419171.0,572075.0,378049.0,484889.6666666667,492614.5,2,1
2018,July,7,2018-07-01,454056,26.58,6.64,0,0,407813.0,463423.0,446627.0,430135.6666666667,495094.8333333333,5,0
2018,August,8,2018-08-01,494043,26.58,1.33,0,0,454056.0,419171.0,427224.0,427013.3333333333,495713.9166666667,5,0
2018,September,9,2018-09-01,426274,27.04,7.48,1,0,494043.0,407813.0,376231.0,451970.6666666667,501282.1666666667,8,1
2018,October,10,2018-10-01,453370,27.11,5.03,5,0,426274.0,454056.0,417039.0,458124.3333333333,505452.4166666667,7,1
2018,November,11,2018-11-01,616549,27.56,0.69,4,0,453370.0,494043.0,570471.0,457895.6666666667,508480.0,7,0
2018,December,12,2018-12-01,755125,28.75,1.29,1,0,616549.0,426274.0,701886.0,498731.0,512319.8333333333,6,0
2019,January,1,2019-01-01,647206,28.17,0.62,2,0,755125.0,453370.0,596241.0,608348.0,516756.4166666667,10,1
2019,February,2,2019-02-01,597483,30.45,0.1,0,0,647206.0,616549.0,542937.0,672960.0,521003.5,7,1
2019,March,3,2019-03-01,633164,31.59,0.82,1,0,597483.0,755125.0,572075.0,666604.6666666666,525549.0,3,0
2019,April,4,2019-04-01,537656,31.58,1.98,3,0,633164.0,647206.0,463423.0,625951.0,530639.75,7,0
2019,May,5,2019-05-01,472952,29.14,7.62,3,0,537656.0,597483.0,419171.0,589434.3333333334,536825.8333333334,14,1
2019,June,6,2019-06-01,450013,27.74,13.08,1,0,472952.0,633164.0,407813.0,547924.0,541307.5833333334,3,1
2019,July,7,2019-07-01,502421,26.86,7.22,0,0,450013.0,537656.0,454056.0,486873.6666666667,544824.25,5,0
2019,August,8,2019-08-01,519502,26.91,8.51,0,0,502421.0,472952.0,494043.0,475128.6666666667,548854.6666666666,5,0
2019,September,9,2019-09-01,453909,26.88,8.77,4,0,519502.0,450013.0,426274.0,490645.3333333333,550976.25,8,1
2019,October,10,2019-10-01,481782,27.23,3.0,2,0,453909.0,502421.0,453370.0,491944.0,553279.1666666666,7,1
2019,November,11,2019-11-01,602042,26.68,0.99,4,0,481782.0,519502.0,616549.0,485064.3333333333,555646.8333333334,6,0
2019,December,12,2019-12-01,712462,26.92,0.01,1,0,602042.0,453909.0,755125.0,512577.6666666667,554437.9166666666,6,0
2020,January,1,2020-01-01,195000,27.77,0.55,2,1,712462.0,481782.0,647206.0,598762.0,550882.6666666666,14,2
2020,February,2,2020-02-01,180000,29.69,0.42,0,1,195000.0,602042.0,597483.0,503168.0,513198.8333333333,4,0
2020,March,3,2020-03-01,165000,31.1,1.05,1,1,180000.0,712462.0,633164.0,362487.3333333333,478408.5833333333,3,0
2020,April,4,2020-04-01,85000,31.41,1.89,3,1,165000.0,195000.0,537656.0,180000.0,439394.9166666667,8,0
2020,May,5,2020-05-01,72000,30.08,3.97,3,1,85000.0,180000.0,472952.0,143333.33333333334,401673.5833333333,14,2
2020,June,6,2020-06-01,68000,27.97,5.53,1,1,72000.0,165000.0,450013.0,107333.33333333331,368260.9166666667,2,0
2020,July,7,2020-07-01,95000,27.01,14.17,0,1,68000.0,85000.0,502421.0,75000.0,336426.5,6,0
2020,August,8,2020-08-01,125000,26.78,8.92,0,1,95000.0,72000.0,519502.0,78333.33333333333,302474.75,5,0
2020,September,9,2020-09-01,102000,26.58,8.36,4,1,125000.0,68000.0,453909.0,96000.0,269599.5833333333,5,0
2020,October,10,2020-10-01,98000,26.57,5.98,2,1,102000.0,95000.0,481782.0,107333.33333333331,240273.8333333333,9,2
2020,November,11,2020-11-01,115000,26.42,4.35,4,1,98000.0,125000.0,602042.0,108333.33333333331,208292.0,7,0
2020,December,12,2020-12-01,135000,24.59,0.86,1,1,115000.0,102000.0,712462.0,105000.0,167705.16666666666,5,0
2021,January,1,2021-01-01,185000,26.38,0.17,2,1,135000.0,98000.0,195000.0,116000.0,119583.33333333331,10,1
2021,February,2,2021-02-01,175000,29.09,2.02,0,1,185000.0,115000.0,180000.0,145000.0,118750.0,8,1
2021,March,3,2021-03-01,190000,29.69,4.14,1,1,175000.0,135000.0,165000.0,165000.0,118333.33333333331,3,0
2021,April,4,2021-04-01,165000,28.93,3.84,3,1,190000.0,185000.0,85000.0,183333.3333333333,120416.66666666669,7,0
2021,May,5,2021-05-01,155000,28.27,6.63,3,1,165000.0,175000.0,72000.0,176666.66666666666,127083.33333333331,15,1
2021,June,6,2021-06-01,162000,27.69,8.73,1,1,155000.0,190000.0,68000.0,170000.0,134000.0,3,1
2021,July,7,2021-07-01,198000,27.01,14.17,0,1,162000.0,165000.0,95000.0,160666.66666666666,141833.33333333334,6,0
2021,August,8,2021-08-01,220000,26.78,8.92,0,1,198000.0,155000.0,125000.0,171666.66666666666,150416.66666666666,5,0
2021,September,9,2021-09-01,205000,26.58,8.36,4,1,220000.0,162000.0,102000.0,193333.3333333333,158333.33333333334,8,1
2021,October,10,2021-10-01,215000,26.57,5.98,2,1,205000.0,198000.0,98000.0,207666.66666666663,166916.66666666666,6,1
2021,November,11,2021-11-01,265000,26.42,4.35,4,1,215000.0,220000.0,115000.0,213333.3333333333,176666.66666666666,7,0
2021,December,12,2021-12-01,310000,24.59,0.86,1,1,265000.0,205000.0,135000.0,228333.3333333333,189166.66666666663,6,0
2022,January,1,2022-01-01,44910,26.38,0.17,2,1,310000.0,215000.0,185000.0,263333.3333333333,203750.0,10,1
2022,February,2,2022-02-01,50411,29.09,2.02,0,1,44910.0,265000.0,175000.0,206636.66666666663,192075.8333333333,7,1
